Incident_Type,Report_taken_date_EST,Year,Data Type,Subject_Race,Subject_Sex,Subject_Ethnicity,Block Address,Incident Location District,Incident Location PSA,Age
Stop & Frisk,1/1/2017,2017,Person,White,Male,Not Hispanic Or Latino,1200 BLOCK OF 18TH STREET NW,2D,208,21
Stop & Frisk,1/1/2017,2017,Person,Unknown,Male,Not Hispanic Or Latino,4600 BLOCK OF G STREET SE,6D,607,Unknown
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Not Hispanic Or Latino,4600 BLOCK OF G STREET SE,6D,607,Unknown
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Not Hispanic Or Latino,1300 BLOCK OF WISCONSIN AVENUE NW,2D,206,26
Stop & Frisk,1/1/2017,2017,Person,White,Male,Not Hispanic Or Latino,1900 BLOCK OF 9 1/2 STREET NW,3D,305,37
Stop & Frisk,1/1/2017,2017,Person,Black,Female,Unknown,1800 BLOCK OF BELMONT ROAD NW,3D,303,46
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,2000 BLOCK OF COLUMBIA ROAD NW,3D,303,21
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,2000 BLOCK OF COLUMBIA ROAD NW,3D,303,Unknown
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,1400 BLOCK OF I STREET NW,2D,207,26
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,1400 BLOCK OF I STREET NW,2D,207,27
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,700 BLOCK OF DECATUR STREET NE,4D,405,18
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,300 BLOCK OF 53RD STREET NE,6D,608,18
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,1600 BLOCK OF P STREET NW,2D,208,19
Stop & Frisk,1/1/2017,2017,Person,Black,Male,Unknown,1600 BLOCK OF P STREET NW,2D,208,20
Stop & Frisk,1/1/2017,2017,Person,Black,Female,Not Hispanic Or Latino,900 BLOCK OF EASTERN AVENUE NE,6D,608,26
