,0
0,0
1,1
2,1
3,1
4,2
5,3
6,4
7,5
8,6
9,7
10,9
11,10
12,11
13,13
14,16
15,18
16,20
17,26
18,29
19,34
20,37
21,43
22,47
23,49
24,50
25,51
26,56
27,58
28,60
29,60
30,63
31,63
32,65
33,67
34,69
35,71
36,72
37,75
38,77
39,78
40,78
41,79
42,81
43,82
44,84
45,84
46,84
47,85
48,86
49,86
50,86
51,86
52,87
53,87
54,87
55,87
56,87
57,88
58,88
59,88
60,89
61,89
62,90
63,91
64,91
65,91
66,92
67,92
68,92
69,92
70,92
71,92
72,92
73,92
74,92
75,92
76,93
77,93
78,93
79,93
80,93
81,93
82,93
83,93
84,93
85,93
86,93
87,93
88,93
89,93
90,93
91,93
92,93
93,93
94,93
95,93
96,93
97,93
98,93
99,93
100,93
101,93
102,93
103,93
104,93
105,93
106,93
107,93
108,93
109,93
110,93
111,93
112,93
113,93
114,93
115,93
116,93
117,93
118,93
119,93
120,93
121,93
122,93
123,93
124,93
125,93
126,93
127,93
128,93
129,93
130,93
131,93
132,93
133,93
134,93
135,93
136,93
137,93
138,93
139,93
140,93
141,93
142,93
143,93
144,93
145,93
146,93
147,93
148,93
149,93
150,93
151,93
152,93
153,93
154,93
155,93
156,93
157,93
158,93
159,93
160,93
161,93
162,93
163,93
164,93
165,93
166,93
167,93
168,93
169,93
170,93
171,93
172,93
173,93
174,93
175,93
176,93
177,93
178,93
179,93
180,93
181,93
182,93
183,93
184,93
185,93
186,93
187,93
188,93
189,93
190,93
191,93
192,93
193,93
194,93
195,93
196,93
197,93
198,93
199,93
200,93
201,93
202,93
203,93
204,93
205,93
206,93
207,93
208,93
209,93
210,93
211,93
212,93
213,93
214,93
215,93
216,93
217,93
218,93
219,93
220,93
221,93
222,93
223,93
224,93
225,93
226,93
227,93
228,93
229,93
230,93
231,93
232,93
233,93
234,93
235,93
236,93
237,93
238,93
239,93
240,93
241,93
242,93
243,93
244,93
245,93
246,93
247,93
248,93
249,93
250,93
251,93
252,93
253,93
254,93
255,93
256,93
257,93
258,93
259,93
260,93
261,93
262,93
263,93
264,93
265,93
266,93
267,93
268,93
269,93
270,93
271,93
272,93
273,93
274,93
275,93
276,93
277,93
278,93
279,93
280,93
281,93
282,93
283,93
284,93
285,93
286,93
287,93
288,93
289,93
290,93
291,93
292,93
293,93
294,93
295,93
296,93
297,93
298,93
299,93
300,93
301,93
302,93
303,93
304,93
305,93
306,93
307,93
308,93
309,93
310,93
311,93
312,93
313,93
314,93
315,93
316,93
317,93
318,93
319,93
320,93
321,93
322,93
323,93
324,93
325,93
326,93
327,93
328,93
329,93
330,93
331,93
332,93
333,93
334,93
335,93
336,93
337,93
338,93
339,93
340,93
341,93
342,93
343,93
344,93
345,93
346,93
347,93
348,93
349,93
350,93
351,93
352,93
353,93
354,93
355,93
356,93
357,93
358,93
359,93
360,93
361,93
362,93
363,93
364,93
365,93
366,93
367,93
368,93
369,93
370,93
371,93
372,93
373,93
374,93
375,93
376,93
377,93
378,93
379,93
380,93
381,93
382,93
383,93
384,93
385,93
386,93
387,93
388,93
389,93
390,93
391,93
392,93
393,93
394,93
395,93
396,93
397,93
398,93
399,93
